Language,Family
English,Indo-European
Chinese,Sino-Tibetan
Mandarin,Sino-Tibetan
Cantonese,Sino-Tibetan
Finnish,Uralic
Italian,Indo-European
Spanish,Indo-European
French,Indo-European
Min Nan,Sino-Tibetan
Japanese,Japonic
Romanian,Indo-European
German,Indo-European
Portuguese,Indo-European
Polish,Indo-European
Serbo-Croatian,Indo-European
Dutch,Indo-European
Russian,Indo-European
Macedonian,Indo-European
Latin,Indo-European
Korean,Koreanic
Czech,Indo-European
Vietnamese,Austroasiatic
Middle English,Indo-European
Hungarian,Uralic
Hakka,Sino-Tibetan
Greek,Indo-European
Swedish,Indo-European
Catalan,Indo-European
Norwegian Nynorsk,Indo-European
Norwegian Bokmål,Indo-European
Teochew,Sino-Tibetan
Irish,Indo-European
Esperanto,constructed
Arabic,Afroasiatic
Icelandic,Indo-European
Ancient Greek,Indo-European
Armenian,Indo-European
Danish,Indo-European
Middle Chinese,Sino-Tibetan
Telugu,Dravidian
Georgian,Kartvelian
Thai,Kra-Dai
Turkish,Turkic
Hindi,Indo-European
Tagalog,Austronesian
Old Chinese,Sino-Tibetan
Galician,Indo-European
Wu,Sino-Tibetan
Cebuano,Austronesian
Latvian,Indo-European
Min Dong,Sino-Tibetan
Indonesian,Austronesian
Persian,Indo-European
Old English,Indo-European
Hebrew,Afroasiatic
Scottish Gaelic,Indo-European
Ukrainian,Indo-European
Bulgarian,Indo-European
Norman,Indo-European
Kazakh,Turkic
Azerbaijani,Turkic
Old French,Indo-European
Welsh,Indo-European
Albanian,Indo-European
Ido,constructed
Xiang,Sino-Tibetan
Jin,Sino-Tibetan
Swahili,Niger-Congo
Manx,Indo-European
Khmer,Austroasiatic
Faroese,Indo-European
Estonian,Uralic
Old Armenian,Indo-European
Sanskrit,Indo-European
Yiddish,Indo-European
Malay,Austronesian
Slovak,Indo-European
Taishanese,Sino-Tibetan
Luxembourgish,Indo-European
Min Bei,Sino-Tibetan
Adyghe,North Caucasian
Maltese,Afroasiatic
Asturian,Indo-European
Gan,Sino-Tibetan
Lithuanian,Indo-European
Burmese,Sino-Tibetan
Proto-Germanic,Indo-European
Navajo,Dene-Yeniseian
Pali,Indo-European
Afrikaans,Indo-European
Slovene,Indo-European
Occitan,Indo-European
Tamil,Dravidian
Dungan,Sino-Tibetan
Urdu,Indo-European
Northern Sami,Uralic
Aromanian,Indo-European
Old Norse,Indo-European
Bengali,Indo-European
Malagasy,Austronesian
Classical Nahuatl,Uto-Aztecan
Belarusian,Indo-European
Middle French,Indo-European
Old Church Slavonic,Indo-European
Assamese,Indo-European
Gothic,Indo-European
Proto-West Germanic,Indo-European
Gujarati,Indo-European
Malayalam,Dravidian
Mongolian,Mongolic
Proto-Slavic,Indo-European
Xhosa,Niger-Congo
Scots,Indo-European
Ottoman Turkish,Turkic
Zulu,Niger-Congo
Westrobothnian,Indo-European
Tibetan,Sino-Tibetan
Egyptian,Afroasiatic
Bashkir,Turkic
Basque,Vasconic
Phalura,Indo-European
Plautdietsch,Indo-European
Volapük,constructed
South Levantine Arabic,Afroasiatic
Northern Kurdish,Indo-European
Venetian,Indo-European
Old Irish,Indo-European
Classical Syriac,Afroasiatic
Crimean Tatar,Turkic
Greenlandic,Eskimo-Aleut
Lojban,constructed
Romansch,Indo-European
Cimbrian,Indo-European
Klingon,constructed
Interlingua,constructed
Bikol Central,Austronesian
Veps,Uralic
Old Saxon,Indo-European
Quechua,Quechuan
Tocharian B,Indo-European
Javanese,Austronesian
Marathi,Indo-European
Hawaiian,Austronesian
Quenya,constructed
Coptic,Afroasiatic
Friulian,Indo-European
Manchu,Tungusic
Sicilian,Indo-European
Aramaic,Afroasiatic
Norwegian,Indo-European
Old High German,Indo-European
Alemannic German,Indo-European
Hausa,Afroasiatic
West Frisian,Indo-European
Nepali,Indo-European
Punjabi,Indo-European
Cherokee,Iroquoian
Ladino,Indo-European
Zhuang,Kra-Dai
Hiligaynon,Austronesian
Ingrian,Uralic
Saterland Frisian,Indo-European
Tok Pisin,creole or pidgin
Yoruba,Niger-Congo
Moroccan Arabic,Afroasiatic
Lower Sorbian,Indo-European
Swazi,Niger-Congo
Lao,Kra-Dai
Central Nahuatl,Uto-Aztecan
Middle Dutch,Indo-European
Pennsylvania German,Indo-European
Uzbek,Turkic
Cornish,Indo-European
Proto-Samic,Uralic
Yola,Indo-European
Hunsrik,Indo-European
Ladin,Indo-European
Uyghur,Turkic
Kannada,Dravidian
Breton,Indo-European
Proto-Indo-European,Indo-European
Pashto,Indo-European
Proto-Finnic,Uralic
Tajik,Indo-European
Phuthi,Niger-Congo
Tatar,Turkic
Vilamovian,Indo-European
Kashmiri,Indo-European
Kyrgyz,Turkic
Afar,Afroasiatic
Kumyk,Turkic
Ternate,West Papuan
Haitian Creole,creole or pidgin
Dalmatian,Indo-European
Kikuyu,Niger-Congo
Garo,Sino-Tibetan
Jeju,Koreanic
Sundanese,Austronesian
Maori,Austronesian
Ojibwe,Algic
Walloon,Indo-European
Kabuverdianu,creole or pidgin
Oromo,Afroasiatic
Karao,Austronesian
Marshallese,Austronesian
Ligurian,Indo-European
Sardinian,Indo-European
Piedmontese,Indo-European
Amharic,Afroasiatic
Kabardian,North Caucasian
Mapudungun,Araucanian
Mauritian Creole,creole or pidgin
Aragonese,Indo-European
Lule Sami,Uralic
Hijazi Arabic,Afroasiatic
Somali,Afroasiatic
Maranao,Austronesian
Old Dutch,Indo-European
Sranan Tongo,creole or pidgin
Kavalan,Austronesian
Proto-Celtic,Indo-European
Kashubian,Indo-European
German Low German,Indo-European
Neapolitan,Indo-European
Romani,Indo-European
Chichewa,Niger-Congo
Chuukese,Austronesian
Laz,Kartvelian
Papiamentu,creole or pidgin
Ilocano,Austronesian
Southern Altai,Turkic
Zazaki,Indo-European
Turkmen,Turkic
Chechen,North Caucasian
Central Huasteca Nahuatl,Uto-Aztecan
Makasar,Austronesian
Lushootseed,Salishan
Yakut,Turkic
Amis,Austronesian
Karelian,Uralic
Silesian,Indo-European
Ugaritic,Afroasiatic
Tuvan,Turkic
Dupaningan Agta,Austronesian
Inupiaq,Eskimo-Aleut
Corsican,Indo-European
Magahi,Indo-European
Chickasaw,Muskogean
Prakrit,Indo-European
Central Atlas Tamazight,Afroasiatic
Livonian,Uralic
Komi-Zyrian,Uralic
Bambara,Niger-Congo
Old Swedish,Indo-European
Unami,Algic
Okinawan,Japonic
Yogad,Austronesian
Interlingue,constructed
Sotho,Niger-Congo
Middle Korean,Koreanic
Proto-Indo-Iranian,Indo-European
Old Spanish,Indo-European
Low German,Indo-European
Nanai,Tungusic
Central Franconian,Indo-European
Erzya,Uralic
Novial,constructed
Wolof,Niger-Congo
Tigrinya,Afroasiatic
Eastern Huasteca Nahuatl,Uto-Aztecan
Waray-Waray,Austronesian
Chuvash,Turkic
Lindu,Austronesian
Upper Sorbian,Indo-European
Emilian,Indo-European
